Aggregate rating,Restaurant ID,Country Code,City,Locality,Locality Verbose,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Restaurant_Name_Length,Name_Word_Count,Name_Has_Number,Name_Uppercase_Ratio,Address_Length,Address_Word_Count,Has_Any_Service,Service_Count,City_Freq_Encoded,Country Code_Freq_Encoded,Cuisines_Freq_Encoded,Rating_Category,High_Rating,Location_Density,Distance_From_Center,Price_Rating_Interaction,Cuisine_Count,Has_North_Indian,Has_Chinese,Has_Fast_Food,Has_Mughlai,Has_Italian
4.8,6317637,162,Makati City,"Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,1100,Botswana Pula(P),1,0,No,No,3,4.8,Dark Green,Excellent,314,16,3,0,1.0,71,10,1,1,2,22,1.0,Excellent,1,1,42.49439257291806,14.399999999999999,3.0,0,0,0,0,0
4.5,6304287,162,Makati City,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,1200,Botswana Pula(P),1,0,No,No,3,4.5,Dark Green,Excellent,591,16,2,0,1.0,67,10,1,1,2,22,17.0,Excellent,1,1,42.48276131447277,13.5,1.0,0,0,0,0,0
4.4,6300002,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,4000,Botswana Pula(P),1,0,No,No,4,4.4,Green,Very Good,270,22,4,0,1.0,56,8,1,1,4,22,1.0,Excellent,1,1,42.521132748603684,17.6,4.0,0,0,0,0,0
4.9,6318506,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,1500,Botswana Pula(P),0,0,No,No,4,4.9,Dark Green,Excellent,365,4,1,0,1.0,70,10,0,0,4,22,18.0,Excellent,1,1,42.52022707534085,19.6,2.0,0,0,0,0,0
4.8,6314302,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,1500,Botswana Pula(P),1,0,No,No,4,4.8,Dark Green,Excellent,229,11,2,0,1.0,64,9,1,1,4,22,3.0,Excellent,1,1,42.521372370093644,19.2,2.0,0,0,0,0,0
4.4,18189371,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,1000,Botswana Pula(P),0,0,No,No,3,4.4,Green,Very Good,336,12,3,0,1.0,71,10,0,0,4,22,354.0,Excellent,1,1,42.52028730970067,13.200000000000001,1.0,0,1,0,0,0
4.0,6300781,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,2000,Botswana Pula(P),1,0,No,No,4,4.0,Green,Very Good,520,10,2,1,1.0,83,15,1,1,3,22,2.0,Good,1,1,42.45186654982034,16.0,2.0,0,0,0,0,0
4.2,6301290,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,2000,Botswana Pula(P),1,0,No,No,4,4.2,Green,Very Good,677,7,1,0,1.0,81,14,1,1,3,22,1.0,Excellent,1,1,42.45029977448154,16.8,4.0,0,0,0,0,0
4.9,6300010,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,6000,Botswana Pula(P),1,0,No,No,4,4.9,Dark Green,Excellent,621,40,6,0,1.0,69,10,1,1,3,22,1.0,Excellent,1,1,42.449198258626744,19.6,3.0,0,0,0,0,0
4.8,6314987,162,Pasig City,Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,1100,Botswana Pula(P),1,0,No,No,3,4.8,Dark Green,Excellent,532,8,1,0,1.0,67,9,1,1,3,22,3.0,Excellent,1,1,42.522161657936735,14.399999999999999,1.0,0,0,0,0,0
